2025-06-30 to 07-04|[Journées de Probabilités 2025](https://www.i2m.univ-amu.fr/en/journee-de-proba-2025/)|Marseille, France||stoch
2026-03-22 to 25|[SIAM Conference on Uncertainty Quantification (UQ 2026)](https://siam.org/conferences-events/siam-conferences/uq26/)|Minneapolis, MN, USA||comp-uq
2025-06-17 to 19|[36th Annual Symposium on Combinatorial Pattern Matching (CPM 2025)](https://cpm2025.pangenome.eu)|Milan, Italy||cs-al
2026-08-17 to 21|Orthogonal Polynomials, Special Functions and Applications (OPSFA 2026)|Kyoto, Japan|Web page to follow|comp-na
2026-07-08 to 18|[Foundations of Computational Mathematics (FoCM 2026)](https://focm2026.univie.ac.at)|Vienna, Austria||comp-na
2025-05-19 to 22|[Shanks Conference Constructive Functions 2025](https://my.vanderbilt.edu/constructivefunctions2025/)|Nashville, TN, USA||comp-na
2025-07-20 to 24|[Practice & Experience in Advanced Research Computing (PEARC 2025)](https://pearc.acm.org)|Columbus, OH, USA||comp-na
2025-12-17 to 20|[32nd IEEE International Conference on High Performance Computing, Data, and Analytics (HiPC 2025)](https://hipc.org)|Hiderabad, India||comp-na
2025-03-01 to 05|[ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming (PPoPP 2025)](https://ppopp25.sigplan.org)|Las Vegas, NV, USA||comp-na
2025-06-10 to 13|[ISC High Performance 2025](https://isc-hpc.com)|Hamburg, Germany||comp-na
2025-11-16 to 21|[International Conference for High Performance Computing, Networking, Storage, and Analysis (SC 2025)](https://sc25.supercomputing.org)|St. Louis, MO, USA||comp-na
2025-05-11 to 15|[SIAM Conference on Applications of Dynamical Systems (DS 2025)](https://siam.org/conferences-events/siam-conferences/ds25)|Denver, CO, USA||comp-na
2025-06-08 to 13|[22nd Householder Symposium](https://householder-symposium.github.io)|Ithaca, NY, USA||comp-na
2025-08-04 to 07|[15th International Conference on Numerical Optimization and Numerical Linear Algebra (ICNONLA 2025)](https://lsec.cc.ac.cn/~icnonla25)|Harbin, China||comp-op
2025-07-13 to 18|[15th International Congress on Spectral and High Order Methods (ICOSAHOM 2025)](https://icosahom2025.org)|Montreal, Canada||comp-na
2025-06-23 to 27|[29th International Conference on Domain Decomposition Methods (DDM 2025)](https://dd29.polimi.it)|Milan, Italy||comp-na
2025-11-17 to 20|[SIAM Conference on Analysis of Partial Differential Equations (PD 2025)](https://siam.org/conferences-events/siam-conferences/pd25)|Pittsburgh, PA, USA||comp-na
2025-09-22 to 26|[61st Symposium on Theoretical Chemistry--Exploring Chemical Landscapes (STC 2025)](https://bcp.fu-berlin.de/en/stc2025)|Berlin, Germany||qchem
2026-07-26 to 08-01|[International Symposium on Quantum Fluids and Solids (QFS 2026)](https://people.umass.edu/qfs98/info1.htm)|South Bend, IN, USA|Announcement only|qmat
2025-03-04 to 08|[45th International Joint Workshop on Infinite Dimensional Analysis, Quantum Probability and Related Topics (QP 2025) and Quantum Bio-Informatics (QBIC 2025)](https://sites.google.com/view/qp45-qbic2025)|Tokyo, Japan||comp-qc
