2025-01-07 to 10|[16th Innovations in Theoretical Computer Science Conference (ITCS 2025)](http://itcs-conf.org)|New York City, NY, USA||cs-al
2025-01-08 to 10|[22nd International Workshop on Computational Physics and Materials Science: Total Energy and Force Methods](https://indico.ictp.it/event/10815/)|ICTP, Trieste, Italy||qmat
2025-01-08 to 10|[RSC Spectroscopy and Dynamics Group Annual Meeting (SDG 2025)](https://shop.le.ac.uk/conferences-and-events/leicester-conferences/spectroscopy-annual-meeting)|Leicester, UK||qmol
2025-01-08 to 11|[24th National Conference on Atomic and Molecular Physics (NCAMP 2025)](https://www.isamp.in/society-activities/conferences)|Dhanbad, India||plas-ig
2025-01-12 to 15|[SIAM Symposium on Discrete Algorithms (SODA 2025)](https://siam.org/conferences-events/siam-conferences/soda25/)|New Orleans, LA, USA||cs-al
2025-01-12 to 17|[Physics of AI Algorithms (PHAIA 2025)](https://houches-school-physics.com/program/program-2025/physics-of-ai-algorithms-phaia-2025-1479852.kjsp)|Les Houches, France||stat-th
2025-01-14 to 17|[International School and Conference on Network Science (NetSciX 2025)](https://netscix2025.iiti.ac.in)|Indore, India||comp-op
2025-01-17 to 18|[Computational Methods in Bayesian Statistics University of Florida Department of Statistics' Annual Winter Workshop](https://stat.ufl.edu/winter-workshop/2025-computational-methods-in-bayesian-statistics/)|Gainesville, FL, USA||stat-th
2025-01-19 to 25|[5th International Workshop on Programming Languages for Quantum Computing (PLanQC 2025)](https://popl25.sigplan.org/home/planqc-2025)|Denver, CO, USA||comp-qc
2025-01-20 to 23|[17th Latin American Workshop on Plasma Physics](http://fis.puc.cl/~lawpp/)|Santiago, Chile||plas-am,plas-ph
2025-01-26 to 02-01|[45th International Workshop on High Energy Density Physics with Intense Ion and Laser Beams](https://indico.gsi.de/event/19829/)|Hirschegg, Germany||plas-am
2025-01-27 to 31|[61st International Winter Meeting on Nuclear Physics (Bormio 2025)](https://bormiomeeting.com)|Bormio, Italy||nuclear
2025-01-27 to 31|[Workshop on Machine Learning for Analysis of High-Energy Cosmic Particles](https://events.icecube.wisc.edu/event/243/)|Newark, DE, USA||comp-ml
2025-01-28 to 30|[32nd European Fusion Programme Workshop (EFPW 2025)](https://indico.euro-fusion.org/category/381/)|Granada, Spain||plas-ph
2025-01-30 to 02-01|[International Conference on Applied Probability, Statistics and Stochastic Processes (ICAPSSP 2025)](https://sites.google.com/nitc.ac.in/icapssp25/)|Calicut, India and Online||stat-th
